RET,date_m,year,notPERMNO
-0.202642,201909,2019,36
-0.010101,201910,2019,36
-0.081633,201911,2019,36
-0.255556,201912,2019,36
0.721393,202001,2020,36
0.089595,202002,2020,36
-0.119363,202003,2020,36
0.365211,202004,2020,36
0.034749,202005,2020,36
0.462687,202006,2020,36
0.164723,202007,2020,36
-0.135169,202008,2020,36
0.117221,202009,2020,36
0.457254,202010,2020,36
0.135129,202011,2020,36
0.145636,202012,2020,36
0.095924,201901,2019,37
-0.045657,201902,2019,37
0.014824,201903,2019,37
0.034083,201904,2019,37
-0.13296,201905,2019,37
0.064718,201906,2019,37
0.006863,201907,2019,37
-0.065239,201908,2019,37
0.079369,201909,2019,37
0.023618,201910,2019,37
0.029496,201911,2019,37
0.079665,201912,2019,37
-0.034304,202001,2020,37
-0.150804,202002,2020,37
-0.065604,202003,2020,37
0.055713,202004,2020,37
0.068121,202005,2020,37
0.015009,202006,2020,37
0.073434,202007,2020,37
0.053467,202008,2020,37
0.038651,202009,2020,37
-0.005378,202010,2020,37
0.084126,202011,2020,37
0.012859,202012,2020,37
0.190488,201901,2019,38
0.084499,201902,2019,38
-0.030484,201903,2019,38
0.058745,201904,2019,38
-0.043634,201905,2019,38
0.15368,201906,2019,38
0.026706,201907,2019,38
0.016812,201908,2019,38
0.002886,201909,2019,38
0.166044,201910,2019,38
-0.220606,201911,2019,38
-0.021404,201912,2019,38
0.039398,202001,2020,38
-0.337433,202002,2020,38
-0.419781,202003,2020,38
0.40079,202004,2020,38
0.156691,202005,2020,38
0.231103,202006,2020,38
0.149339,202007,2020,38
0.0711,202008,2020,38
0.014314,202009,2020,38
-0.077493,202010,2020,38
0.205033,202011,2020,38
-0.002247,202012,2020,38
-0.055876,201901,2019,39
0.049115,201902,2019,39
0.031635,201903,2019,39
-0.346394,201904,2019,39
-0.018245,201905,2019,39
0.051327,201906,2019,39
0.005892,201907,2019,39
-0.227615,201908,2019,39
0.028169,201909,2019,39
0.031612,201910,2019,39
-0.065373,201911,2019,39
0.06776,201912,2019,39
0.007165,202001,2020,39
-0.188008,202002,2020,39
0.051314,202003,2020,39
0.428571,202004,2020,39
0.288333,202005,2020,39
0.506468,202006,2020,39
0.051524,202007,2020,39
-0.422621,202008,2020,39
0.200849,202009,2020,39
0.010012,202010,2020,39
0.102041,202011,2020,39
-0.011111,202012,2020,39
0.186492,201901,2019,40
0.233645,201902,2019,40
0.012397,201903,2019,40
0.002721,201904,2019,40
-0.098372,201905,2019,40
-0.00301,201906,2019,40
0.0,201907,2019,40
-0.193208,201908,2019,40
0.108513,201909,2019,40
0.040506,201910,2019,40
0.100568,201911,2019,40
0.027266,201912,2019,40
-0.087518,202001,2020,40
-0.157233,202002,2020,40
0.10541,202003,2020,40
0.099578,202004,2020,40
0.061397,202005,2020,40
0.0094,202006,2020,40
0.335243,202007,2020,40
-0.055794,202008,2020,40
0.146023,202009,2020,40
0.03768,202010,2020,40
0.136168,202011,2020,40
0.039529,202012,2020,40
0.262417,201901,2019,41
-0.017705,201902,2019,41
-0.033378,201903,2019,41
0.186464,201904,2019,41
-0.33993,201905,2019,41
0.144621,201906,2019,41
0.095532,201907,2019,41
0.008439,201908,2019,41
0.066946,201909,2019,41
-0.127451,201910,2019,41
0.053865,201911,2019,41
0.247414,201912,2019,41
-0.120382,202001,2020,41
0.197204,202002,2020,41
-0.123452,202003,2020,41
0.061728,202004,2020,41
0.145349,202005,2020,41
-0.095432,202006,2020,41
0.066779,202007,2020,41
0.518148,202008,2020,41
-0.009009,202009,2020,41
0.225524,202010,2020,41
0.073324,202011,2020,41
-0.176768,202012,2020,41
0.160236,201901,2019,42
0.078536,201902,2019,42
0.003477,201903,2019,42
0.05902,201904,2019,42
-0.046384,201905,2019,42
0.144858,201906,2019,42
-0.003756,201907,2019,42
-0.010449,201908,2019,42
0.022918,201909,2019,42
-0.005121,201910,2019,42
0.042252,201911,2019,42
0.028878,201912,2019,42
-0.000501,202001,2020,42
-0.055862,202002,2020,42
-0.098605,202003,2020,42
-0.02658,202004,2020,42
0.012015,202005,2020,42
-0.025974,202006,2020,42
0.035679,202007,2020,42
0.144117,202008,2020,42
0.045953,202009,2020,42
0.106041,202010,2020,42
0.059673,202011,2020,42
0.038839,202012,2020,42
0.183943,201901,2019,43
0.050644,201902,2019,43
-0.124183,201903,2019,43
0.14434,201904,2019,43
-0.083265,201905,2019,43
0.07,201906,2019,43
0.023789,201907,2019,43
-0.107884,201908,2019,43
0.083721,201909,2019,43
0.045967,201910,2019,43
0.029851,201911,2019,43
0.032206,201912,2019,43
-0.081102,202001,2020,43
-0.13539,202002,2020,43
-0.257681,202003,2020,43
0.097693,202004,2020,43
-0.069221,202005,2020,43
0.012146,202006,2020,43
-0.012,202007,2020,43
0.012146,202008,2020,43
-0.08,202009,2020,43
0.115044,202010,2020,43
0.167989,202011,2020,43
0.089468,202012,2020,43
0.065134,201901,2019,44
-0.004496,201902,2019,44
0.060524,201903,2019,44
0.08092,201904,2019,44
-0.038613,201905,2019,44
-0.081967,201906,2019,44
-0.041964,201907,2019,44
-0.027176,201908,2019,44
0.161097,201909,2019,44
-0.088284,201910,2019,44
-0.063348,201911,2019,44
0.043478,201912,2019,44
0.290741,202001,2020,44
0.514347,202002,2020,44
-0.265751,202003,2020,44
-0.12129,202004,2020,44
0.064611,202005,2020,44
0.546897,202006,2020,44
0.054837,202007,2020,44
-0.136517,202008,2020,44
-0.030837,202009,2020,44
0.089394,202010,2020,44
-0.081131,202011,2020,44
0.374874,202012,2020,44
0.247145,201901,2019,45
0.030722,201902,2019,45
-0.033952,201903,2019,45
0.022068,201904,2019,45
0.119552,201905,2019,45
0.107143,201906,2019,45
-0.057903,201907,2019,45
-0.012327,201908,2019,45
0.024614,201909,2019,45
-0.030621,201910,2019,45
-0.089005,201911,2019,45
0.105556,201912,2019,45
-0.07451,202001,2020,45
-0.258379,202002,2020,45
-0.223681,202003,2020,45
0.241626,202004,2020,45
-0.085909,202005,2020,45
-0.118911,202006,2020,45
-0.08748,202007,2020,45
0.300784,202008,2020,45
0.030137,202009,2020,45
0.053191,202010,2020,45
0.164141,202011,2020,45
0.062907,202012,2020,45
0.440476,201901,2019,46
-0.806116,201902,2019,46
-0.258738,201903,2019,46
0.059603,201901,2019,47
0.255625,201902,2019,47
-0.193629,201903,2019,47
0.002469,201904,2019,47
-0.060961,201905,2019,47
0.016393,201906,2019,47
-0.190323,201907,2019,47
0.000996,201908,2019,47
0.030846,201909,2019,47
-0.061776,201910,2019,47
-0.016461,201911,2019,47
-0.041841,201912,2019,47
